[21:21:33] [ServerMain/INFO]: Building unoptimized datafixer
[21:21:34] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[21:21:35] [ServerMain/INFO]: Loaded 7 recipes
[21:21:35] [ServerMain/INFO]: Loaded 1179 advancements
[21:21:36] [Server thread/INFO]: Starting minecraft server version 1.19
[21:21:36] [Server thread/INFO]: Loading properties
[21:21:36] [Server thread/INFO]: Default game type: SURVIVAL
[21:21:36] [Server thread/INFO]: Generating keypair
[21:21:36] [Server thread/INFO]: Starting Minecraft server on *:25565
[21:21:36] [Server thread/INFO]: Using default channel type
[21:21:36] [Server thread/INFO]: Preparing level "world"
[21:21:50] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[21:21:50] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[21:21:50] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[21:21:51] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[21:21:51] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[21:21:52] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[21:21:52] [Worker-Main-5/INFO]: Preparing spawn area: 3%
[21:21:53] [Worker-Main-8/INFO]: Preparing spawn area: 5%
[21:21:53] [Worker-Main-7/INFO]: Preparing spawn area: 7%
[21:21:54] [Worker-Main-7/INFO]: Preparing spawn area: 9%
[21:21:54] [Worker-Main-10/INFO]: Preparing spawn area: 11%
[21:21:55] [Worker-Main-4/INFO]: Preparing spawn area: 14%
[21:21:55] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[21:21:56] [Worker-Main-1/INFO]: Preparing spawn area: 19%
[21:21:56] [Worker-Main-4/INFO]: Preparing spawn area: 22%
[21:21:57] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[21:21:57] [Worker-Main-7/INFO]: Preparing spawn area: 27%
[21:21:58] [Worker-Main-6/INFO]: Preparing spawn area: 30%
[21:21:58] [Worker-Main-5/INFO]: Preparing spawn area: 32%
[21:21:59] [Worker-Main-11/INFO]: Preparing spawn area: 34%
[21:21:59] [Worker-Main-6/INFO]: Preparing spawn area: 37%
[21:22:00] [Worker-Main-4/INFO]: Preparing spawn area: 41%
[21:22:00] [Worker-Main-4/INFO]: Preparing spawn area: 43%
[21:22:01] [Worker-Main-11/INFO]: Preparing spawn area: 45%
[21:22:01] [Worker-Main-11/INFO]: Preparing spawn area: 49%
[21:22:02] [Worker-Main-9/INFO]: Preparing spawn area: 54%
[21:22:02] [Worker-Main-6/INFO]: Preparing spawn area: 56%
[21:22:03] [Worker-Main-10/INFO]: Preparing spawn area: 57%
[21:22:03] [Worker-Main-5/INFO]: Preparing spawn area: 61%
[21:22:04] [Worker-Main-1/INFO]: Preparing spawn area: 63%
[21:22:04] [Worker-Main-10/INFO]: Preparing spawn area: 68%
[21:22:05] [Worker-Main-9/INFO]: Preparing spawn area: 69%
[21:22:05] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[21:22:06] [Worker-Main-6/INFO]: Preparing spawn area: 75%
[21:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 79%
[21:22:07] [Worker-Main-4/INFO]: Preparing spawn area: 83%
[21:22:07] [Worker-Main-10/INFO]: Preparing spawn area: 84%
[21:22:08] [Worker-Main-5/INFO]: Preparing spawn area: 86%
[21:22:08] [Worker-Main-1/INFO]: Preparing spawn area: 90%
[21:22:09] [Worker-Main-3/INFO]: Preparing spawn area: 93%
[21:22:09] [Worker-Main-8/INFO]: Preparing spawn area: 96%
[21:22:10] [Server thread/INFO]: Time elapsed: 19896 ms
[21:22:10] [Server thread/INFO]: Done (33.684s)! For help, type "help"
